"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Streptomycetales",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,167,10,0,290,102,0,0,0
"Streptosporangiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,28,48,0,0,0
"Subgroup_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9
"Subgroup_17",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,12,0,0,0
"Subgroup_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Subgroup_2",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subgroup_7",38,38,14,15,20,30,32,27,0,0,22,26,37,19,21,15,19,0,6,0,0,0,0,25,21,32
"Symbiobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Synechococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Syntrophales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,7,0,0,0
"Thermoactinomycetales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"Thermoanaerobaculales",0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Thermomicrobiales",751,679,800,0,165,230,258,211,259,0,505,144,223,0,441,469,172,0,0,0,0,0,0,209,167,282
"Thiotrichales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"TK10",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncultured",219,742,769,256,202,452,456,292,294,134,270,187,267,209,505,306,520,165,81,40,35,399,416,270,466,371
"Unknown",2661,5012,6035,2318,1204,1667,1642,1476,1523,2565,1828,1258,1731,2206,1337,1272,2381,258,220,151,89,286,407,1791,1594,1623
"Veillonellales-Selenomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Verrucomicrobiales",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,206,231,0,8,290,311,0,0,0
"Vicinamibacterales",495,629,541,416,516,534,515,519,795,578,262,287,163,379,446,441,559,8,15,0,0,0,35,461,509,526
"WD260",161,656,914,242,89,104,158,120,115,60,45,75,35,160,228,267,214,6,0,6,0,0,0,52,0,0
"Woesearchaeales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,11,0,0,0
"Zavarziniales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,0,0,12,0,0,0
