"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9"
"Saccharimonadia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,16,0,0,0
"SL56_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,50,0,6,26,61,0,0,0
"Subgroup_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9
"Subgroup_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Symbiobacteriia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Syntrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,7,0,0,0
"Thermoanaerobaculia",0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Thermodesulfovibrionia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,8,0,0,0
"Thermoleophilia",11,15,0,0,7,9,0,0,0,0,86,14,27,5,0,0,0,19,13,0,0,20,46,19,0,0
"TK10",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncultured",25,0,0,5,0,0,0,0,0,0,17,0,12,0,12,0,0,0,0,0,0,0,5,0,0,0
"Unknown",855,1784,2565,848,442,962,467,467,498,898,454,509,419,726,763,794,1017,88,83,37,29,97,205,952,794,440
"Vampirivibrionia",14,0,0,9,9,6,21,18,5,0,7,19,0,6,14,7,0,0,0,0,0,0,0,18,0,13
"Verrucomicrobiae",419,759,213,132,503,298,749,435,318,172,716,295,716,96,86,140,226,553,488,175,149,808,749,236,455,769
"Vicinamibacteria",495,629,541,416,516,534,515,519,795,578,262,292,163,379,446,441,559,8,25,0,0,0,47,461,509,526
"WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
